threads,iterations,accounts,duration
2,1000,250,68
2,1000,1000,369
2,1000,10000,1499
2,10000,250,2780
2,10000,1000,3682
2,10000,10000,13960
2,100000,250,27831
2,100000,1000,36476
2,100000,10000,139815
2,1000000,250,279465
2,1000000,1000,371990
2,1000000,10000,1392773
2,10000000,250,2749388
2,10000000,1000,3628747
2,10000000,10000,13925761
4,1000,250,623
4,1000,1000,665
4,1000,10000,3054
4,10000,250,8126
4,10000,1000,10416
4,10000,10000,31025
4,100000,250,83804
4,100000,1000,106106
4,100000,10000,305655
4,1000000,250,825917
4,1000000,1000,1002542
4,1000000,10000,3128964
4,10000000,250,8082105
4,10000000,1000,10805107
4,10000000,10000,31541201
8,1000,250,708
8,1000,1000,2594
8,1000,10000,7044
8,10000,250,18259
8,10000,1000,23466
8,10000,10000,64094
8,100000,250,185316
8,100000,1000,236496
8,100000,10000,679358
8,1000000,250,1975286
8,1000000,1000,2430353
8,1000000,10000,7258700
8,10000000,250,19997978
8,10000000,1000,24381079
8,10000000,10000,73692087
16,1000,250,1380
16,1000,1000,2028
16,1000,10000,11105
16,10000,250,37707
16,10000,1000,42685
16,10000,10000,132830
16,100000,250,399466
16,100000,1000,486857
16,100000,10000,1454313
16,1000000,250,4097616
16,1000000,1000,4946259
16,1000000,10000,15167394
16,10000000,250,41830529
16,10000000,1000,50820310
16,10000000,10000,153792750
