threads,iterations,accounts,duration
2,1000,250,632
2,1000,1000,1303
2,1000,10000,5146
2,10000,250,6997
2,10000,1000,12325
2,10000,10000,69166
2,100000,250,68892
2,100000,1000,118085
2,100000,10000,675067
2,1000000,250,661982
2,1000000,1000,1123754
2,1000000,10000,6454425
2,10000000,250,6226664
2,10000000,1000,10928870
2,10000000,10000,63987523
4,1000,250,1538
4,1000,1000,2425
4,1000,10000,13807
4,10000,250,16335
4,10000,1000,24626
4,10000,10000,132171
4,100000,250,156478
4,100000,1000,251791
4,100000,10000,1354464
4,1000000,250,1498309
4,1000000,1000,2470378
4,1000000,10000,13298927
4,10000000,250,14885328
4,10000000,1000,23815165
4,10000000,10000,136813726
8,1000,250,2532
8,1000,1000,4893
8,1000,10000,31348
8,10000,250,33509
8,10000,1000,50954
8,10000,10000,321377
8,100000,250,334103
8,100000,1000,528198
8,100000,10000,3466114
8,1000000,250,3314852
8,1000000,1000,5515402
8,1000000,10000,34267937
8,10000000,250,33544957
8,10000000,1000,55258118
8,10000000,10000,345208139
16,1000,250,8950
16,1000,1000,9260
16,1000,10000,48529
16,10000,250,63954
16,10000,1000,98669
16,10000,10000,583802
16,100000,250,687649
16,100000,1000,1137514
16,100000,10000,6442000
16,1000000,250,6975855
16,1000000,1000,11576044
16,1000000,10000,66396305
16,10000000,250,70613489
16,10000000,1000,116189337
16,10000000,10000,661546069
