threads,iterations,accounts,duration
2,1000,250,551
2,1000,1000,696
2,1000,10000,839
2,10000,250,4702
2,10000,1000,6491
2,10000,10000,27766
2,100000,250,55655
2,100000,1000,67510
2,100000,10000,723548
2,1000000,250,592131
2,1000000,1000,837823
2,1000000,10000,7973251
2,10000000,250,5892206
2,10000000,1000,9132494
2,10000000,10000,83808286
4,1000,250,646
4,1000,1000,1621
4,1000,10000,2124
4,10000,250,11393
4,10000,1000,13738
4,10000,10000,58815
4,100000,250,127817
4,100000,1000,160328
4,100000,10000,1319231
4,1000000,250,1334466
4,1000000,1000,1959122
4,1000000,10000,16543499
4,10000000,250,13387795
4,10000000,1000,20833918
4,10000000,10000,167653567
8,1000,250,3851
8,1000,1000,4577
8,1000,10000,4963
8,10000,250,30975
8,10000,1000,35775
8,10000,10000,145665
8,100000,250,339150
8,100000,1000,404404
8,100000,10000,3155044
8,1000000,250,3591983
8,1000000,1000,5267753
8,1000000,10000,34427132
8,10000000,250,37696615
8,10000000,1000,57624399
8,10000000,10000,378998021
16,1000,250,9878
16,1000,1000,11649
16,1000,10000,13442
16,10000,250,78226
16,10000,1000,91772
16,10000,10000,343256
16,100000,250,870740
16,100000,1000,1109887
16,100000,10000,7306766
16,1000000,250,9534327
16,1000000,1000,13554991
16,1000000,10000,82429433
16,10000000,250,95886904
16,10000000,1000,142285716
16,10000000,10000,902545055
