Implementation,Iterations,Threads,Accounts,Time(ms),FinalBalance
bank,1000,1,250,0,100000
bank,1000,1,1000,1,100000
bank,1000,1,10000,20,100000
bank,1000,2,250,0,100000
bank,1000,2,1000,1,100000
bank,1000,2,10000,10,100000
bank,1000,4,250,0,100000
bank,1000,4,1000,1,100000
bank,1000,4,10000,9,100000
bank,1000,8,250,0,100000
bank,1000,8,1000,0,100000
bank,1000,8,10000,6,100000
bank,1000,16,250,0,100000
bank,1000,16,1000,0,100000
bank,1000,16,10000,6,100000
bank,1000,24,250,0,100000
bank,1000,24,1000,0,100000
bank,1000,24,10000,4,100000
bank,10000,1,250,4,100000
bank,10000,1,1000,16,100000
bank,10000,1,10000,211,100000
bank,10000,2,250,3,100000
bank,10000,2,1000,11,100000
bank,10000,2,10000,110,100000
bank,10000,4,250,3,100000
bank,10000,4,1000,10,100000
bank,10000,4,10000,97,100000
bank,10000,8,250,3,100000
bank,10000,8,1000,9,100000
bank,10000,8,10000,90,100000
bank,10000,16,250,2,100000
bank,10000,16,1000,9,100000
bank,10000,16,10000,89,100000
bank,10000,24,250,2,100000
bank,10000,24,1000,7,100000
bank,10000,24,10000,73,100000
bank,100000,1,250,40,100000
bank,100000,1,1000,153,100000
bank,100000,1,10000,2027,100000
bank,100000,2,250,34,100000
bank,100000,2,1000,95,100000
bank,100000,2,10000,848,100000
bank,100000,4,250,41,100000
bank,100000,4,1000,116,100000
bank,100000,4,10000,998,100000
bank,100000,8,250,41,100000
bank,100000,8,1000,115,100000
bank,100000,8,10000,1004,100000
bank,100000,16,250,31,100000
bank,100000,16,1000,111,100000
bank,100000,16,10000,971,100000
bank,100000,24,250,31,100000
bank,100000,24,1000,113,100000
bank,100000,24,10000,981,100000
bank,1000000,1,250,409,100000
bank,1000000,1,1000,1067,100000
bank,1000000,1,10000,17018,100000
bank,1000000,2,250,334,100000
bank,1000000,2,1000,911,100000
bank,1000000,2,10000,10877,100000
bank,1000000,4,250,391,100000
bank,1000000,4,1000,1106,100000
bank,1000000,4,10000,9708,100000
bank,1000000,8,250,351,100000
bank,1000000,8,1000,791,100000
bank,1000000,8,10000,9593,100000
bank,1000000,16,250,359,100000
bank,1000000,16,1000,1220,100000
bank,1000000,16,10000,9506,100000
bank,1000000,24,250,351,100000
bank,1000000,24,1000,1180,100000
bank,1000000,24,10000,9446,100000
bank,10000000,1,250,3856,100000
bank,10000000,1,1000,13737,100000
bank,10000000,1,10000,192041,100000
bank,10000000,2,250,3798,100000
bank,10000000,2,1000,12888,100000
bank,10000000,2,10000,153751,100000
bank,10000000,4,250,4091,100000
bank,10000000,4,1000,14831,100000
bank,10000000,4,10000,116498,100000
bank,10000000,8,250,4124,100000
bank,10000000,8,1000,14301,100000
bank,10000000,8,10000,113408,100000
bank,10000000,16,250,3717,100000
bank,10000000,16,1000,15043,100000
bank,10000000,16,10000,114161,100000
bank,10000000,24,250,3527,100000
bank,10000000,24,1000,14931,100000
bank,10000000,24,10000,107584,100000
