Iterations,Accounts,Threads,Time,Speedup
100000,250,1,0.012961,1.0
100000,250,2,0.012538,1.03
100000,250,4,0.0117932,1.09
100000,250,8,0.0115941,1.11
100000,250,16,0.0115323,1.12
100000,1000,1,0.0302334,1.0
100000,1000,2,0.0295357,1.02
100000,1000,4,0.0299407,1.00
100000,1000,8,0.0309374,.97
100000,1000,16,0.0305466,.98
100000,10000,1,0.240861,1.0
100000,10000,2,0.2337,1.03
100000,10000,4,0.236412,1.01
100000,10000,8,0.259068,.92
100000,10000,16,0.272579,.88
1000000,250,1,0.124217,1.0
1000000,250,2,0.118005,1.05
1000000,250,4,0.112744,1.10
1000000,250,8,0.113741,1.09
1000000,250,16,0.113049,1.09
1000000,1000,1,0.272906,1.0
1000000,1000,2,0.284636,.95
1000000,1000,4,0.297211,.91
1000000,1000,8,0.304307,.89
1000000,1000,16,0.311375,.87
1000000,10000,1,2.51932,1.0
1000000,10000,2,2.417,1.04
1000000,10000,4,2.38722,1.05
1000000,10000,8,2.46746,1.02
1000000,10000,16,2.58851,.97
10000000,250,1,1.22686,1.0
10000000,250,2,1.16937,1.04
10000000,250,4,1.12338,1.09
10000000,250,8,1.14385,1.07
10000000,250,16,1.13464,1.08
10000000,1000,1,2.73963,1.0
10000000,1000,2,2.8139,.97
10000000,1000,4,2.99473,.91
10000000,1000,8,3.09367,.88
10000000,1000,16,3.1172,.87
10000000,10000,1,24.0173,1.0
10000000,10000,2,22.8767,1.04
10000000,10000,4,23.2531,1.03
10000000,10000,8,23.797,1.00
10000000,10000,16,25.1366,.95
