Threads,Accounts,Iterations,Run,LongestThreadTime(ms)
2,250,1000,1,0
4,250,1000,1,0
8,250,1000,1,0
16,250,1000,1,0
2,1000,1000,1,0
4,1000,1000,1,0
8,1000,1000,1,0
16,1000,1000,1,0
2,10000,1000,1,2
4,10000,1000,1,1
8,10000,1000,1,1
16,10000,1000,1,1
2,250,10000,1,1
4,250,10000,1,1
8,250,10000,1,1
16,250,10000,1,0
2,1000,10000,1,3
4,1000,10000,1,2
8,1000,10000,1,1
16,1000,10000,1,1
2,10000,10000,1,30
4,10000,10000,1,17
8,10000,10000,1,9
16,10000,10000,1,7
2,250,100000,1,16
4,250,100000,1,12
8,250,100000,1,10
16,250,100000,1,10
2,1000,100000,1,37
4,1000,100000,1,22
8,1000,100000,1,16
16,1000,100000,1,12
2,10000,100000,1,281
4,10000,100000,1,153
8,10000,100000,1,81
16,10000,100000,1,66
2,250,1000000,1,162
4,250,1000000,1,124
8,250,1000000,1,105
16,250,1000000,1,103
2,1000,1000000,1,358
4,1000,1000000,1,223
8,1000,1000000,1,148
16,1000,1000000,1,126
2,10000,1000000,1,2804
4,10000,1000000,1,1508
8,10000,1000000,1,816
16,10000,1000000,1,665
2,250,10000000,1,1521
4,250,10000000,1,1228
8,250,10000000,1,1056
16,250,10000000,1,1055
2,1000,10000000,1,3560
4,1000,10000000,1,2184
8,1000,10000000,1,1476
16,1000,10000000,1,1282
2,10000,10000000,1,27844
4,10000,10000000,1,14894
8,10000,10000000,1,8899
16,10000,10000000,1,6736
