Threads,Accounts,Iterations,Run,LongestThreadTime(ms)
2,250,1000,1,0
4,250,1000,1,0
8,250,1000,1,0
16,250,1000,1,0
2,1000,1000,1,0
4,1000,1000,1,0
8,1000,1000,1,0
16,1000,1000,1,0
2,10000,1000,1,0
4,10000,1000,1,0
8,10000,1000,1,0
16,10000,1000,1,0
2,250,10000,1,0
4,250,10000,1,1
8,250,10000,1,1
16,250,10000,1,2
2,1000,10000,1,0
4,1000,10000,1,1
8,1000,10000,1,1
16,1000,10000,1,2
2,10000,10000,1,1
4,10000,10000,1,1
8,10000,10000,1,2
16,10000,10000,1,1
2,250,100000,1,8
4,250,100000,1,14
8,250,100000,1,20
16,250,100000,1,20
2,1000,100000,1,9
4,1000,100000,1,13
8,1000,100000,1,21
16,1000,100000,1,20
2,10000,100000,1,9
4,10000,100000,1,16
8,10000,100000,1,20
16,10000,100000,1,19
2,250,1000000,1,98
4,250,1000000,1,177
8,250,1000000,1,213
16,250,1000000,1,176
2,1000,1000000,1,75
4,1000,1000000,1,177
8,1000,1000000,1,165
16,1000,1000000,1,171
2,10000,1000000,1,87
4,10000,1000000,1,158
8,10000,1000000,1,191
16,10000,1000000,1,202
2,250,10000000,1,1000
4,250,10000000,1,1829
8,250,10000000,1,1920
16,250,10000000,1,1716
2,1000,10000000,1,731
4,1000,10000000,1,1632
8,1000,10000000,1,1921
16,1000,10000000,1,1947
2,10000,10000000,1,912
4,10000,10000000,1,1815
8,10000,10000000,1,1951
16,10000,10000000,1,2050
