program,threads,iterations,duration_us
fpc_chat.cpp,2,100,115
fpc_chat.cpp,4,100,162
fpc_chat.cpp,8,100,389
fpc_chat.cpp,16,100,511
fpc_chat.cpp,2,1000,200
fpc_chat.cpp,4,1000,135
fpc_chat.cpp,8,1000,388
fpc_chat.cpp,16,1000,715
fpc_chat.cpp,2,10000,483
fpc_chat.cpp,4,10000,398
fpc_chat.cpp,8,10000,275
fpc_chat.cpp,16,10000,797
fpc_chat.cpp,2,100000,3145
fpc_chat.cpp,4,100000,1814
fpc_chat.cpp,8,100000,1134
fpc_chat.cpp,16,100000,758
fpc_chat.cpp,2,1000000,41708
fpc_chat.cpp,4,1000000,21348
fpc_chat.cpp,8,1000000,11153
fpc_chat.cpp,16,1000000,6323
fpc_gemini.cpp,2,100,200
fpc_gemini.cpp,4,100,341
fpc_gemini.cpp,8,100,270
fpc_gemini.cpp,16,100,252
fpc_gemini.cpp,2,1000,179
fpc_gemini.cpp,4,1000,213
fpc_gemini.cpp,8,1000,311
fpc_gemini.cpp,16,1000,333
fpc_gemini.cpp,2,10000,572
fpc_gemini.cpp,4,10000,459
fpc_gemini.cpp,8,10000,367
fpc_gemini.cpp,16,10000,370
fpc_gemini.cpp,2,100000,4064
fpc_gemini.cpp,4,100000,2807
fpc_gemini.cpp,8,100000,2030
fpc_gemini.cpp,16,100000,1731
fpc_gemini.cpp,2,1000000,39424
fpc_gemini.cpp,4,1000000,27498
fpc_gemini.cpp,8,1000000,20122
fpc_gemini.cpp,16,1000000,16181
fpc_claude.cpp,2,100,75
fpc_claude.cpp,4,100,250
fpc_claude.cpp,8,100,177
fpc_claude.cpp,16,100,502
fpc_claude.cpp,2,1000,145
fpc_claude.cpp,4,1000,173
fpc_claude.cpp,8,1000,335
fpc_claude.cpp,16,1000,484
fpc_claude.cpp,2,10000,351
fpc_claude.cpp,4,10000,333
fpc_claude.cpp,8,10000,277
fpc_claude.cpp,16,10000,786
fpc_claude.cpp,2,100000,2536
fpc_claude.cpp,4,100000,1348
fpc_claude.cpp,8,100000,1027
fpc_claude.cpp,16,100000,862
fpc_claude.cpp,2,1000000,22804
fpc_claude.cpp,4,1000000,12608
fpc_claude.cpp,8,1000000,8024
fpc_claude.cpp,16,1000000,6755
