Accounts,Iterations,Threads,TimeSeconds
250,1000,2,0.00027321
250,1000,4,0.000318712
250,1000,8,0.000287699
250,1000,16,0.000365131
250,10000,2,0.00271863
250,10000,4,0.00342362
250,10000,8,0.00421041
250,10000,16,0.00470639
250,100000,2,0.027509
250,100000,4,0.0341475
250,100000,8,0.0415453
250,100000,16,0.0496086
250,1000000,2,0.26545
250,1000000,4,0.337514
250,1000000,8,0.419495
250,1000000,16,0.49362
250,10000000,2,2.56803
250,10000000,4,3.40753
250,10000000,8,4.18316
250,10000000,16,4.91365
1000,1000,2,0.00042946
1000,1000,4,0.000564537
1000,1000,8,0.000551913
1000,1000,16,0.000492331
1000,10000,2,0.00453716
1000,10000,4,0.00516142
1000,10000,8,0.00535147
1000,10000,16,0.0057243
1000,100000,2,0.0415321
1000,100000,4,0.052306
1000,100000,8,0.0522316
1000,100000,16,0.0575667
1000,1000000,2,0.399086
1000,1000000,4,0.509291
1000,1000000,8,0.521409
1000,1000000,16,0.568447
1000,10000000,2,3.99899
1000,10000000,4,5.05508
1000,10000000,8,5.22172
1000,10000000,16,5.69844
10000,1000,2,0.00209893
10000,1000,4,0.00268016
10000,1000,8,0.00260659
10000,1000,16,0.00305465
10000,10000,2,0.0246055
10000,10000,4,0.0259278
10000,10000,8,0.0240976
10000,10000,16,0.029112
10000,100000,2,0.221286
10000,100000,4,0.270364
10000,100000,8,0.236109
10000,100000,16,0.281549
10000,1000000,2,2.10246
10000,1000000,4,2.64184
10000,1000000,8,2.37848
10000,1000000,16,2.81719
10000,10000000,2,20.8599
10000,10000000,4,25.3066
10000,10000000,8,23.3597
10000,10000000,16,27.0256
