Implementation,Iterations,Threads,Accounts,Time(ms),FinalBalance
bank,1000,2,250,0,100000.0
bank,1000,4,250,0,100000.0
bank,1000,8,250,0,100000.0
bank,1000,16,250,0,100000.0
bank,1000,2,1000,0,100000.0
bank,1000,4,1000,0,100000.0
bank,1000,8,1000,0,100000.0
bank,1000,16,1000,0,100000.0
bank,1000,2,10000,0,100000.0
bank,1000,4,10000,0,100000.0
bank,1000,8,10000,0,100000.0
bank,1000,16,10000,0,100000.0
bank,10000,2,250,2,100000.0
bank,10000,4,250,2,100000.0
bank,10000,8,250,2,100000.0
bank,10000,16,250,3,100000.0
bank,10000,2,1000,3,100000.0
bank,10000,4,1000,3,100000.0
bank,10000,8,1000,3,100000.0
bank,10000,16,1000,3,100000.0
bank,10000,2,10000,8,100000.0
bank,10000,4,10000,8,100000.0
bank,10000,8,10000,9,100000.0
bank,10000,16,10000,7,100000.0
bank,100000,2,250,25,100000.0
bank,100000,4,250,25,100000.0
bank,100000,8,250,30,100000.0
bank,100000,16,250,33,100000.0
bank,100000,2,1000,33,100000.0
bank,100000,4,1000,35,100000.0
bank,100000,8,1000,37,100000.0
bank,100000,16,1000,39,100000.0
bank,100000,2,10000,78,100000.0
bank,100000,4,10000,81,100000.0
bank,100000,8,10000,83,100000.0
bank,100000,16,10000,83,100000.0
bank,1000000,2,250,229,100000.0
bank,1000000,4,250,259,100000.0
bank,1000000,8,250,276,100000.0
bank,1000000,16,250,336,100000.0
bank,1000000,2,1000,292,100000.0
bank,1000000,4,1000,352,100000.0
bank,1000000,8,1000,367,100000.0
bank,1000000,16,1000,378,100000.0
bank,1000000,2,10000,777,100000.0
bank,1000000,4,10000,819,100000.0
bank,1000000,8,10000,825,100000.0
bank,1000000,16,10000,827,100000.0
bank,10000000,2,250,2463,100000.0
bank,10000000,4,250,2773,100000.0
bank,10000000,8,250,2886,100000.0
bank,10000000,16,250,3694,100000.0
bank,10000000,2,1000,2821,100000.0
bank,10000000,4,1000,3278,100000.0
bank,10000000,8,1000,3539,100000.0
bank,10000000,16,1000,3752,100000.0
bank,10000000,2,10000,7852,100000.0
bank,10000000,4,10000,8148,100000.0
bank,10000000,8,10000,8355,100000.0
bank,10000000,16,10000,8301,100000.0
