Implementation,Iterations,Threads,Accounts,Time(ms),FinalBalance
bank,1000,2,250,0,100000
bank,1000,4,250,0,100000
bank,1000,8,250,3,100000
bank,1000,16,250,7,100000
bank,1000,2,1000,0,100000
bank,1000,4,1000,0,100000
bank,1000,8,1000,2,100000
bank,1000,16,1000,6,100000
bank,1000,2,10000,0,100000
bank,1000,4,10000,0,100000
bank,1000,8,10000,2,100000
bank,1000,16,10000,6,100000
bank,10000,2,250,3,100000
bank,10000,4,250,9,100000
bank,10000,8,250,27,100000
bank,10000,16,250,79,100000
bank,10000,2,1000,2,100000
bank,10000,4,1000,8,100000
bank,10000,8,1000,26,100000
bank,10000,16,1000,75,100000
bank,10000,2,10000,3,100000
bank,10000,4,10000,8,100000
bank,10000,8,10000,25,100000
bank,10000,16,10000,94,100000
bank,100000,2,250,29,100000
bank,100000,4,250,88,100000
bank,100000,8,250,271,100000
bank,100000,16,250,813,100000
bank,100000,2,1000,29,100000
bank,100000,4,1000,86,100000
bank,100000,8,1000,264,100000
bank,100000,16,1000,847,100000
bank,100000,2,10000,30,100000
bank,100000,4,10000,85,100000
bank,100000,8,10000,269,100000
bank,100000,16,10000,805,100000
bank,1000000,2,250,279,100000
bank,1000000,4,250,919,100000
bank,1000000,8,250,2813,100000
bank,1000000,16,250,8598,100000
bank,1000000,2,1000,279,100000
bank,1000000,4,1000,887,100000
bank,1000000,8,1000,2753,100000
bank,1000000,16,1000,8230,100000
bank,1000000,2,10000,282,100000
bank,1000000,4,10000,861,100000
bank,1000000,8,10000,2743,100000
bank,1000000,16,10000,8173,100000
bank,10000000,2,250,2765,100000
bank,10000000,4,250,8957,100000
bank,10000000,8,250,28108,100000
bank,10000000,16,250,88468,100000
bank,10000000,2,1000,2822,100000
bank,10000000,4,1000,8884,100000
bank,10000000,8,1000,27858,100000
bank,10000000,16,1000,85153,100000
bank,10000000,2,10000,2816,100000
bank,10000000,4,10000,8950,100000
bank,10000000,8,10000,27927,100000
bank,10000000,16,10000,84254,100000
